County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Jackson County,118875,18,3,0,15,1
Jackson County,22441,2,0,0,3,0
Jackson County,8056,0,0,0,1,0
Jackson County,36169,0,0,0,4,0
Jackson County,3490,0,0,1,1,0
Jasper County,2915,0,0,0,1,0
Jasper County,21628,0,0,0,3,0
Jasper County,6439,1,1,0,0,0
Jay County,3113,0,0,0,1,0
Jefferson Parish County,71893,9,0,0,1,0
Jefferson County,118943,8,0,0,10,0
Jefferson County,17279,2,0,0,0,0
Jefferson County,48031,0,5,0,12,0
Jefferson County,3540,0,0,0,1,0
Jefferson County,4419,0,0,0,1,0
Jefferson County,126924,10,1,0,12,1
Jefferson County,3040,1,0,0,0,0
Jefferson County,11237,1,0,0,0,0
Jefferson County,52969,3,0,0,4,0
Jefferson County,9452,1,0,0,1,0
Jefferson County,6240,0,0,0,1,0
Jersey County,1715,0,0,0,1,0
Jessamine County,8588,0,0,0,2,0
Jim Wells County,8974,0,0,0,1,0
Jo Daviess County,2114,0,0,0,1,0
Johnson County,5227,0,0,0,0,1
Johnson County,15639,0,0,0,1,0
Johnson County,37328,1,0,0,5,0
Johnson County,5653,0,0,0,1,0
Johnson County,9568,0,0,0,0,0
Johnston County,2454,0,0,0,1,0
Jones County,1683,0,0,0,1,0
Josephine County,16887,0,0,0,5,0
Kalamazoo County,49434,0,0,0,3,0
Kanabec County,2151,0,0,0,1,0
Kanawha County,26821,1,0,0,8,0
Kane County,58531,2,1,0,1,0
Kaufman County,14794,0,0,0,1,0
Kay County,8277,0,0,0,1,0
Kenai Peninsula Borough County,4943,0,0,0,4,0
Kendall County,3616,1,1,0,1,0
Kennebec County,16229,0,0,0,4,0
Kenosha County,23530,0,0,0,2,0
Kent County,22186,0,0,0,3,0
Kent County,2616,1,0,0,0,0
Kent County,97532,3,0,0,2,0
Kenton County,22458,0,1,0,1,0
Kern County,200281,5,23,0,9,0
Kerr County,7534,0,0,0,3,0
King George County,1801,0,0,0,1,0
King County,239196,14,6,1,16,4
Kings County,31556,1,3,1,1,0
Kings County,608256,5,0,0,1,0
Kiowa County,244,0,0,0,1,0
Kitsap County,26435,0,0,1,2,0
Kittitas County,9610,0,1,0,1,0
Klamath County,12371,0,1,0,2,0
Knott County,3671,0,0,0,3,0
Knox County,5311,0,0,0,1,0
Knox County,11034,0,0,0,4,0
Knox County,65502,2,1,0,4,0
Knox County,802,0,0,0,1,0
Kootenai County,19742,0,0,0,2,0
La Crosse County,16522,0,0,0,1,0
La Paz County,3925,0,2,1,1,0
La Plata County,6155,0,0,0,1,0
Labette County,3207,0,0,0,1,0
Lackawanna County,28930,0,0,0,1,0
Laclede County,6981,0,0,0,1,0
Lafayette Parish County,39353,1,0,0,1,0
Lafayette County,3105,0,0,0,1,0
Lafayette County,13550,0,0,0,3,0
Lafourche Parish County,13821,0,0,0,1,0
Lake County,16046,0,0,0,4,0
Lake County,43565,1,1,0,7,0
Lake County,63467,4,1,0,4,0
Lake County,87261,9,0,0,1,0
Lake County,21089,0,0,0,1,0
Lamar County,10457,0,0,0,1,0
Lamar County,9459,0,1,0,3,0
Lamb County,3000,0,1,0,0,0
Lancaster County,45873,1,0,0,5,0
Lancaster County,55999,1,2,0,1,0
Lancaster County,17464,0,0,0,1,0
Lane County,71667,0,3,0,9,0
Langlade County,2814,0,0,0,1,0
Laramie County,10410,0,0,1,1,0
Larimer County,45701,0,1,0,6,1
Las Animas County,2501,1,1,0,0,0
Latimer County,1796,0,0,0,0,0
Lauderdale County,16013,0,0,0,1,0
Lauderdale County,19217,0,0,0,3,0
Laurel County,13083,0,0,0,3,0
Lawrence County,5858,0,0,0,1,0
Lawrence County,6947,0,0,0,1,0
Lawrence County,7072,0,0,0,1,0
Lawrence County,12783,0,1,0,1,0
Lawrence County,3551,0,0,0,1,0
Lawrence County,7652,0,0,0,1,0
Le Flore County,11047,0,0,0,2,0
Lea County,10500,0,3,0,3,0
Leavenworth County,8431,1,0,0,0,0
Lebanon County,14590,0,0,0,2,0
Lee County,33936,1,0,0,0,0
Lee County,104645,2,1,0,4,0
Lee County,3269,0,0,0,0,0
Lee County,5328,1,0,0,1,0
Lee County,15600,2,0,0,0,0
Lee County,11276,0,1,0,0,0
Lee County,2076,1,0,0,0,0
Lehigh County,49022,0,0,0,3,0
Lenoir County,13861,1,0,0,0,0
Leon County,65885,4,0,0,3,0
Leon County,2984,0,0,0,1,0
Lewis and Clark County,6849,0,0,0,1,0
Lewis County,2369,0,0,0,1,0
