County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Cuyahoga County,16,14,4,16,0,68030,12,381727,6,758416
Dade County,1,0,0,1,0,137,0,38,0,7193
Dakota County,6,5,4,2,0,27226,0,23514,4,332085
Dakota County,1,1,0,1,1,7797,0,896,0,10800
Dale County,2,2,0,2,0,3018,0,9748,2,34737
Dallam County,1,1,0,1,0,3060,0,142,1,3753
Dallas County,1,1,1,0,0,417,1,28989,0,11887
Dallas County,1,1,0,1,0,209,0,3202,1,4195
Dallas County,0,0,0,1,0,295,0,49,1,15585
Dallas County,35,28,4,38,8,989824,13,581805,14,783296
Dane County,2,1,0,3,0,32009,1,27879,2,416641
Danville County,1,1,1,1,0,1443,2,20967,0,19014
Darlington County,3,2,1,2,0,1355,1,27933,2,37492
Dauphin County,3,2,0,5,0,22530,3,50761,1,185130
Davidson County,4,2,0,5,0,11156,1,15422,4,132898
Davidson County,8,5,1,7,1,66166,4,187805,3,380289
Davie County,1,1,0,1,0,2651,0,2693,1,35177
Daviess County,4,3,0,4,0,2751,1,4913,2,87956
Davis County,7,5,2,6,1,30001,0,4615,6,279249
Davison County,1,1,0,1,0,477,0,198,1,18333
De Baca County,1,1,0,1,1,744,0,7,0,1014
De Witt County,1,0,0,1,0,374,0,130,1,15486
DeKalb County,10,10,0,11,1,64272,4,395744,4,215926
DeKalb County,1,1,0,1,0,253,0,1472,1,10762
DeKalb County,1,1,0,1,0,1445,0,404,1,17225
DeSoto County,6,6,0,6,1,8374,2,42557,2,115366
Deaf Smith County,1,1,0,1,1,13551,0,383,0,5182
Dearborn County,2,0,0,2,0,594,0,346,2,47723
Decatur County,1,1,0,1,0,1524,1,11323,0,14045
Decatur County,1,1,1,0,0,338,0,349,1,10744
Defiance County,1,0,0,1,0,3696,1,847,0,33388
Del Norte County,1,0,0,1,0,5170,0,952,0,17225
Delaware County,4,1,3,2,0,2458,0,8312,5,102322
Delaware County,1,1,0,1,0,4538,0,6618,1,164339
Delaware County,4,3,1,3,0,1450,0,207,3,26815
Delaware County,4,3,0,5,0,19703,2,119347,2,386190
Denton County,10,5,3,7,1,143138,4,72322,4,464824
Denver County,30,20,2,34,12,204469,4,67713,9,354502
Des Moines County,2,2,2,1,0,1167,1,2375,2,35424
Deschutes County,3,0,0,3,0,13290,0,851,3,149771
Deuel County,1,1,0,1,0,106,0,5,1,1788
Dewey County,1,1,0,1,0,299,0,24,0,4132
Dickson County,0,0,0,1,0,1567,0,2225,1,45568
Dillon County,1,0,0,2,0,778,0,14505,2,14567
District of Columbia County,14,8,4,12,0,68524,14,322857,2,235883
Dixie County,1,1,0,1,0,588,0,1447,1,13536
Dodge County,1,1,0,1,0,4074,0,2745,1,80248
Dorchester County,1,1,0,1,0,7274,1,38453,0,96356
Dougherty County,1,0,0,1,0,2402,1,63206,0,25227
Douglas County,6,6,4,2,1,26114,0,4404,3,263981
Douglas County,3,2,1,2,0,12351,1,60367,2,62310
Douglas County,1,1,0,1,0,1451,0,119,1,17979
Douglas County,1,1,0,1,0,6761,0,5362,1,92918
